Vārds, uzvārds	Kandidātu saraksts	Vēlēšanu apgabals	Kārtas nr. sarakstā	Dzimšanas gads	Darbavieta / nodarbošanās	Amats
Aija Ingrīda Abene	10 Attīstībai/Par!	Rīga	22	1957	Latvijas Okupācijas muzejs	Izstādes "Izstaigā Stūra māju" vadītāja
Hosams Abu Meri	13 Jaunā VIENOTĪBA	Vidzeme	28	1974	LR Saeima	Saeimas deputāts
Aldis Adamovičs	13 Jaunā VIENOTĪBA	Latgale	1	1970	LR Saeima	Saeimas deputāts
Valērijs Agešins	9 "Saskaņa" sociāldemokrātiskā partija	Kurzeme	2	1972	Liepājas dome	Deputāts
Pēteris Aglonietis	2 Jaunā konservatīvā partija	Latgale	3	1965	Valsts probācijas dienests	Vecākais probācijas speciālists
Armands Agrums	7 "LSDSP/KDS/GKL"	Rīga	1	1961	Latvijas Sociālās tirgus ekonomikas institūts	direktors
Andrejs Agurejevs	3 Rīcības partija	Kurzeme	3	1992	SIA Ekla	Apdares darbinieks
Artūrs Ahramejevs	6 "Latvijas centriskā partija"	Zemgale	2	1967	Valsts policija	jaunākais inspektors
Uldis Ainārs	13 Jaunā VIENOTĪBA	Zemgale	15	1975	Centrālā statistikas pārvalde	Departamenta direktors
Aiga Aizpuriete	2 Jaunā konservatīvā partija	Rīga	27	1973	Bezdarbnieks/bezdarbniece	
Mārtiņš Aizpurietis	2 Jaunā konservatīvā partija	Vidzeme	19	1990	Limbažu novada dome	Deputāts
Normunds Aizpurs	9 "Saskaņa" sociāldemokrātiskā partija	Vidzeme	15	1966	Valsts ieņēmumu dienesta Muitas pārvalde	Vecākais muitas uzraugs
Māris Aizsils	10 Attīstībai/Par!	Vidzeme	24	1975	SIA "R. Evolution 21"	Projektu vadītājs
Inese Aizstrauta	16 Zaļo un Zemnieku savienība	Vidzeme	11	1957	LR Saeima	Deputāte
Guntars Akmentiņš	4 Nacionālā apvienība "Visu Latvijai!"-"Tēvzemei un Brīvībai/LNNK"	Zemgale	7	1965	Ozolnieku novada dome	Domes priekšsēdētāja vietnieks
Sergejs Akuličs	10 Attīstībai/Par!	Rīga	12	1985	Partija "Latvijas attīstībai"	Valdes loceklis
Ieva Akuratere	2 Jaunā konservatīvā partija	Kurzeme	2	1958	Dziedātāja, aktrise	
Aleksandrs Alehnovičs	3 Rīcības partija	Latgale	2	1965	SIA Tradestandart	Valdes loceklis
Pjotrs Aleksejevs	11 Latvijas Reģionu Apvienība	Rīga	33	1969	Latvijas Vecticības institūts	Direktors
Rūdolfs Aļkvists	3 Rīcības partija	Rīga	25	1964	SIA "ACB"	Metinātājs
Andris Amans	8 No sirds Latvijai	Vidzeme	12	1963	SIA "LS transports un loģistika"	Autovadītājs
Ingrīda Amantova	16 Zaļo un Zemnieku savienība	Vidzeme	24	1960	Ropažu novada dome	Deputāte
Daina Amosova	3 Rīcības partija	Latgale	6	1958	Daugavpils bērnu attīstības centrs	Pedagogs
Ilmārs Ančāns	12 "Latviešu Nacionālisti"	Rīga	13	1940	Pensionārs/pensionāre	
Staņislavs Ančevskis	15 Politiskā partija "KPV LV"	Latgale	14	1982	Sitel Polska Sp. z o.o	Klientu apkalpošanas speciālists
Ilma Andersone	7 "LSDSP/KDS/GKL"	Vidzeme	10	1952	IK PADOMS I	komersants
Aivars Andersons	12 "Latviešu Nacionālisti"	Rīga	7	1941	Latvijas Republikas Pilsoņu Kongress	Delegāts
Edgars Andersons	2 Jaunā konservatīvā partija	Zemgale	14	1949	Rīgas Centrālais termināls	Kuģu bīstamo kravu konsultants
Jānis Andersons	15 Politiskā partija "KPV LV"	Zemgale	15	1994	SIA "BIO Dārzs"	Mārketinga nodaļas vadītājs
