Nr.	Saraksts	Derīgās zīmes	Procenti*	Vietas
1	"Latvijas Krievu savienība"	21926	3,42%	-
2	Jaunā konservatīvā partija	86019	13,45%	-
3	Rīcības partija	855	0,13%	-
4	Nacionālā apvienība "Visu Latvijai!"-"Tēvzemei un Brīvībai/LNNK"	69961	10,94%	-
5	"PROGRESĪVIE"	15679	2,45%	-
6	"Latvijas centriskā partija"	717	0,11%	-
7	"LSDSP/KDS/GKL"	1300	0,20%	-
8	No sirds Latvijai	5548	0,86%	-
9	"Saskaņa" sociāldemokrātiskā partija	126931	19,84%	-
10	Attīstībai/Par!	72504	11,33%	-
11	Latvijas Reģionu Apvienība	27304	4,26%	-
12	"Latviešu Nacionālisti"	3272	0,51%	-
13	Jaunā VIENOTĪBA	41387	6,47%	-
14	Par Alternatīvu	2092	0,32%	-
15	Politiskā partija "KPV LV"	90916	14,21%	-
16	Zaļo un Zemnieku savienība	69068	10,80%	-
