Apgabals,Nr,Saraksts,Balsis,Deputati
Kurzeme,15,"Politiskā partija ""KPV LV""",21220,3
Kurzeme,2,Jaunā konservatīvā partija,15751,2
Kurzeme,16,Zaļo un Zemnieku savienība,14925,2
Kurzeme,4,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",13292,2
Kurzeme,10,Attīstībai/Par!,11830,1
Kurzeme,9,"""Saskaņa"" sociāldemokrātiskā partija",8960,1
Kurzeme,13,Jaunā VIENOTĪBA,5839,1
Latgale,9,"""Saskaņa"" sociāldemokrātiskā partija",32159,6
Latgale,16,Zaļo un Zemnieku savienība,12539,2
Latgale,2,Jaunā konservatīvā partija,7900,2
Latgale,15,"Politiskā partija ""KPV LV""",6874,1
Latgale,13,Jaunā VIENOTĪBA,5067,1
Latgale,4,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",4465,1
Latgale,10,Attīstībai/Par!,4181,1
Rīga,9,"""Saskaņa"" sociāldemokrātiskā partija",88051,12
Rīga,10,Attīstībai/Par!,38469,5
Rīga,2,Jaunā konservatīvā partija,34993,5
Rīga,15,"Politiskā partija ""KPV LV""",33545,4
Rīga,4,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",26492,4
Rīga,13,Jaunā VIENOTĪBA,18961,3
Rīga,16,Zaļo un Zemnieku savienība,13944,2
Vidzeme,2,Jaunā konservatīvā partija,38893,5
Vidzeme,15,"Politiskā partija ""KPV LV""",34341,4
Vidzeme,10,Attīstībai/Par!,33651,4
Vidzeme,4,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",31466,4
Vidzeme,16,Zaļo un Zemnieku savienība,27448,3
Vidzeme,9,"""Saskaņa"" sociāldemokrātiskā partija",26146,3
Vidzeme,13,Jaunā VIENOTĪBA,16940,2
Zemgale,15,"Politiskā partija ""KPV LV""",21934,3
Zemgale,4,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",16745,2
Zemgale,2,Jaunā konservatīvā partija,16454,2
Zemgale,16,Zaļo un Zemnieku savienība,14660,2
Zemgale,10,Attīstībai/Par!,12814,2
Zemgale,9,"""Saskaņa"" sociāldemokrātiskā partija",11592,2
Zemgale,13,Jaunā VIENOTĪBA,9160,1
